,time,syntax_penn_tok2,syntax_penn_lem2,lexical_tok2,lexical_lem2,cosine_semanticL,partner_direction,condition_info
104,9,0.052128603514268686,0.11180339887498948,0.0,0.0,0.6308445704828085,r>l,dyad12-dyad44-cond1
105,10,0.0,0.0,0.23570226039551587,0.23570226039551587,0.4677999787993392,l>r,dyad12-dyad44-cond1
106,11,0.0,0.0,0.0,0.0,0.33506725477579646,r>l,dyad12-dyad44-cond1
107,12,0.0,0.0,0.0,0.0,0.6161567527251641,l>r,dyad12-dyad44-cond1
108,13,0.09304842103984709,0.09035079029052513,0.05143444998736397,0.05143444998736397,0.7506129979837135,r>l,dyad12-dyad44-cond1
109,14,0.0,0.2760262237369417,0.0,0.0,0.5650397282578751,l>r,dyad12-dyad44-cond1
110,15,0.0,0.0,0.0,0.0,0.3359942968880798,r>l,dyad12-dyad44-cond1
111,16,0.0,0.0,0.0,0.0,0.46283761430370707,l>r,dyad12-dyad44-cond1
112,17,0.19925419255468718,0.08728715609439694,0.0,0.0,0.6509571534512283,r>l,dyad12-dyad44-cond1
113,18,0.24806946917841693,0.0,0.0,0.0,0.5142727247788424,l>r,dyad12-dyad44-cond1
114,19,0.0,0.0,0.0,0.0,0.48868522279427173,r>l,dyad12-dyad44-cond1
115,20,0.1767766952966369,0.314970394174356,0.0,0.0,0.6502230202697075,l>r,dyad12-dyad44-cond1
116,21,0.21081851067789195,0.10540925533894598,0.0,0.0,0.6086016051278121,r>l,dyad12-dyad44-cond1
117,22,0.0,0.0,0.0,0.0,0.6371516640833692,l>r,dyad12-dyad44-cond1
118,23,0.0,0.0,0.0,0.0,0.4820921669253285,r>l,dyad12-dyad44-cond1
119,24,0.20683507599800766,0.14269544824634822,0.0,0.0,0.6359497954750497,l>r,dyad12-dyad44-cond1
120,25,0.27435163058436723,0.5028948456749698,0.04225771273642582,0.04225771273642582,0.6782986357766365,r>l,dyad12-dyad44-cond1
121,26,0.28128250956514506,0.45817096691151754,0.0,0.0,0.7510713773866416,l>r,dyad12-dyad44-cond1
122,27,0.12982269672237465,0.12909944487358058,0.0,0.0,0.6628521429118961,r>l,dyad12-dyad44-cond1
123,28,0.0,0.0,0.0,0.0,0.5196326635856906,l>r,dyad12-dyad44-cond1
124,29,0.23570226039551584,0.23570226039551584,0.0,0.0,0.6728347285387368,r>l,dyad12-dyad44-cond1
125,30,0.3872983346207417,0.5163977794943223,0.0,0.0,0.6071508181676951,l>r,dyad12-dyad44-cond1
126,31,0.11180339887498948,0.22360679774997896,0.0,0.0,0.614139237098089,r>l,dyad12-dyad44-cond1
127,32,0.147087101353638,0.147087101353638,0.0,0.0,0.5963181914510244,l>r,dyad12-dyad44-cond1
128,33,0.5399492471560389,0.48595432244043496,0.04856429311786321,0.04856429311786321,0.588669118917028,r>l,dyad12-dyad44-cond1
129,34,0.2578553115646983,0.24753688574416854,0.0,0.0,0.6579198403262533,l>r,dyad12-dyad44-cond1
130,35,0.0,0.14002800840280097,0.0,0.0,0.2806469411794478,r>l,dyad12-dyad44-cond1
131,36,0.0,0.0,0.0,0.0,0.3541245624578765,l>r,dyad12-dyad44-cond1
132,37,0.21455956195564546,0.27439773622801417,0.0,0.0,0.7064966291965088,r>l,dyad12-dyad44-cond1
133,38,0.25724787771376323,0.19802950859533489,0.0,0.0,0.3387825637155104,l>r,dyad12-dyad44-cond1
134,0,0.0,0.0,0.0,0.0,0.24727836954142046,l>r,dyad14-dyad41-cond1
135,1,0.10050378152592121,0.09245003270420486,0.0,0.0,0.3562169725265212,r>l,dyad14-dyad41-cond1
136,2,0.0,0.0,0.0,0.0,0.5049059880875707,l>r,dyad14-dyad41-cond1
